ID_Area,SIGLA,Area_Cualificacion_Normalizada,Total_Ocupaciones
1,AFDE,"Administración, Finanzas Y Derecho",114
2,FAMA,"Fabricación, Transformación De Materiales, Instalación, Mantenimiento Y Reparación",55
3,AGVE,"Agropecuario, Silvicultura, Pesca, Acuicultura Y Veterinaria",50
4,SABI,Salud Y Bienestar,46
5,LOTR,Logística Y Transporte,41
6,AVPP,"Artes Visuales, Plásticas Y Del Patrimonio Cultural",32
7,COIF,Construcción E Infraestructura,32
8,SEPC,Servicios Personales Y A La Comunidad,31
9,COMP,"Comercio, Mercadeo Y Publicidad",29
10,AVEM,"Audiovisuales, Artes Escénicas Y Música",29
11,SEGU,Seguridad,23
12,EMCP,"Exploración Y Extracción De Minas, Canteras, Petróleo Y Gas",21
13,TICO,Tecnologías De La Información Y Las Comunicaciones,20
14,INQU,Industria Química,19
15,TCCD,"Textil, Cuero, Confección Y Diseño De Modas",18
16,EDFO,Educación Y Formación,16
17,PEEL,Producción De Energía Y Electricidad,15
18,TUHG,"Turismo, Hotelería Y Gastronomía",14
19,CNME,"Ciencias Naturales, Matemáticas Y Estadística",14
20,LIAG,Literatura Y Artes Gráficas,12
21,CISH,Ciencias Sociales Y Humanidades,11
22,ETAL,Elaboración Y Transformación De Alimentos,10
23,CPSA,"Conservación, Protección Y Saneamiento Ambiental",9
24,AFIR,"Actividades Físicas, Deportivas Y Recreativas",7
25,ELCA,Electrónica Y Automatización,7
26,TMFM,Transformación De La Madera Y Fabricación De Muebles,5
