Area_Cualificacion_CUOC,CINE_Campo_Amplio,SIGLA,Total_Ocupaciones
"Administración, Finanzas Y Derecho",Administración de Empresas y Derecho,AFDE,114
Tecnologías De La Información Y Las Comunicaciones,Tecnologías de la Información y la Comunicación (TIC),TICO,20
Salud Y Bienestar,Salud y Bienestar,SABI,46
Educación Y Formación,Educación,EDFO,16
"Agropecuario, Silvicultura, Pesca, Acuicultura Y Veterinaria","Agropecuario, Silvicultura, Pesca y Veterinaria",AGVE,50
Construcción E Infraestructura,"Ingeniería, Industria y Construcción",COIF,32
"Fabricación, Transformación De Materiales, Instalación, Mantenimiento Y Reparación","Ingeniería, Industria y Construcción",FAMA,55
Producción De Energía Y Electricidad,"Ingeniería, Industria y Construcción",PEEL,15
Electrónica Y Automatización,"Ingeniería, Industria y Construcción",ELCA,7
Industria Química,"Ingeniería, Industria y Construcción",INQU,19
"Exploración Y Extracción De Minas, Canteras, Petróleo Y Gas","Ingeniería, Industria y Construcción",EMCP,21
"Textil, Cuero, Confección Y Diseño De Modas","Ingeniería, Industria y Construcción",TCCD,18
Transformación De La Madera Y Fabricación De Muebles,"Ingeniería, Industria y Construcción",TMFM,5
Elaboración Y Transformación De Alimentos,"Agropecuario, Silvicultura, Pesca y Veterinaria",ETAL,10
Logística Y Transporte,Servicios,LOTR,41
"Comercio, Mercadeo Y Publicidad",Administración de Empresas y Derecho,COMP,29
"Turismo, Hotelería Y Gastronomía",Servicios,TUHG,14
Servicios Personales Y A La Comunidad,Servicios,SEPC,31
Seguridad,Servicios,SEGU,23
"Artes Visuales, Plásticas Y Del Patrimonio Cultural",Arte y Humanidades,AVPP,32
"Audiovisuales, Artes Escénicas Y Música",Arte y Humanidades,AVEM,29
Literatura Y Artes Gráficas,Arte y Humanidades,LIAG,12
"Ciencias Naturales, Matemáticas Y Estadística","Ciencias Naturales, Matemáticas y Estadística",CNME,14
Ciencias Sociales Y Humanidades,"Ciencias Sociales, Periodismo e Información",CISH,11
"Conservación, Protección Y Saneamiento Ambiental","Ciencias Naturales, Matemáticas y Estadística",CPSA,9
"Actividades Físicas, Deportivas Y Recreativas",Servicios,AFIR,7
